gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABAT,,,,no,11.983,12.785,137237,149384,0.093,ENSG00000183044,"4-aminobutyrate aminotransferase, mitochondrial",Mitochondrion matrix,,
ACVR1B,,,,no,9.007,10.08,103155,117777,0.162,ENSG00000135503,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN
ADA,,,,no,1.192,1.529,13652,17862,0.359,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",
ADGRB1,,,,no,0.206,0.518,2358,6054,1.331,ENSG00000181790,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1),Cell membrane,,ADGRB
AGO1,,,,no,4.66,4.546,53366,53121,-0.036,ENSG00000092847,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),Cytoplasm,,
AKT1,,,,no,21.471,16.765,245908,195890,-0.357,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,
AKT2,,,,no,14.34,16.101,164236,188133,0.167,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,
AKT3,,,,no,6.099,7.575,69847,88506,0.313,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,
ANAPC1,,,,no,6.197,7.201,70976,84141,0.217,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,
APAF1,,,,no,2.69,3.132,30809,36599,0.22,ENSG00000120868,Apoptotic protease-activating factor 1 (APAF-1),Cytoplasm,,
APP,,,,no,50.114,50.835,573949,593997,0.021,ENSG00000142192,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II),Cell membrane,epithelial cell;lens epithelial cell;anterior lens cell;endothelial tip cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney loop of Henle thin ascending limb epithelial cell;surface ectodermal cell,APP
ATF3,,,,no,5.902,2.359,67595,27560,-1.323,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,
ATM,,,,no,9.108,10.276,104310,120077,0.174,ENSG00000149311,Serine-protein kinase ATM,Nucleus,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",
ATR,,,,no,3.923,3.607,44927,42144,-0.121,ENSG00000175054,Serine/threonine-protein kinase ATR,Nucleus,,
AURKA,,,,no,0.499,0.361,5715,4224,-0.465,ENSG00000087586,Aurora kinase A,Cytoplasm,,
AURKB,,,,no,0.305,0.272,3488,3183,-0.161,ENSG00000178999,Aurora kinase B,Nucleus,precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell,
BAIAP2,,,,no,0.783,1.127,8963,13167,0.526,ENSG00000175866,Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53),Cytoplasm;Membrane,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte,
BAK1,,,,no,3.058,2.46,35028,28744,-0.314,ENSG00000030110,Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7),Mitochondrion outer membrane,,
BARD1,,,,no,1.286,0.969,14726,11317,-0.409,ENSG00000138376,BRCA1-associated RING domain protein 1 (BARD-1),Nucleus,,
BAX,,,,no,1.317,1.334,15080,15593,0.019,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,
BBC3,,,,no,1.991,2.122,22808,24790,0.091,ENSG00000105327,"Bcl-2-binding component 3, isoforms 3/4 (JFY-1) (p53 up-regulated modulator of apoptosis)",,duct epithelial cell;luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell,
BCL2,,,,no,1.295,1.556,14831,18181,0.265,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
BCL2L1,,,,no,18.876,18.984,216190,221821,0.008,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,
BID,,,,no,1.289,0.952,14758,11120,-0.437,ENSG00000015475,BH3-interacting domain death agonist (p22 BID) (BID),Cytoplasm,"CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;non-classical monocyte;pre-conventional dendritic cell",
BLM,,,,no,0.098,0.066,1120,776,-0.558,ENSG00000197299,RecQ-like DNA helicase BLM,Nucleus,,
BMP2,,,,no,6.312,3.984,72291,46556,-0.664,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP
BRCA1,,,,no,0.771,0.492,8835,5745,-0.65,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,
BRIP1,,,,no,0.424,0.311,4855,3630,-0.448,ENSG00000136492,Fanconi anemia group J protein (Protein FACJ),Nucleus,,
BTRC,,,,no,3.713,4.676,42527,54637,0.333,ENSG00000166167,F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit),Cytoplasm,,
CACNA1D,,,,no,1.15,0.96,13170,11215,-0.261,ENSG00000157388,"Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)",Membrane,non-pigmented ciliary epithelial cell;corneal epithelial cell;kidney distal convoluted tubule epithelial cell;retinal pigment epithelial cell;amacrine cell;alveolar type 2 fibroblast cell,
CALM3,,,,no,16.504,14.013,189023,163741,-0.236,ENSG00000160014,Calmodulin-3,Cytoplasm,pancreatic A cell;Hofbauer cell;platelet;T-helper 17 cell;large pre-B-II cell;myeloid cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,
CALML3,,,,no,0.033,,378,0,,ENSG00000178363,Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1),,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;epithelial cell of stratum germinativum of esophagus;epithelial cell;keratinocyte;stratified epithelial cell;pulmonary ionocyte;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;epidermal cell;ionocyte;conjunctival epithelial cell,
CAPN1,,,,no,5.531,5.052,63351,59034,-0.131,ENSG00000014216,Calpain-1 catalytic subunit,Cytoplasm,club cell,
CASP1,,,,no,1.174,2.209,13447,25806,0.912,ENSG00000137752,Caspase-1 (CASP-1),Cytoplasm,"classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;transit amplifying cell of small intestine",
CASP3,,,,no,4.989,4.109,57135,48018,-0.28,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",
CASP8,,,,no,2.154,2.786,24664,32555,0.372,ENSG00000064012,Caspase-8 (CASP-8),Cytoplasm,"memory regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell",
CASP9,,,,no,1.897,2.254,21722,26333,0.249,ENSG00000132906,Caspase-9 (CASP-9),,,
CCNA1,,,,no,0.031,0.009,357,109,-1.741,ENSG00000133101,Cyclin-A1,Nucleus,,
CCNA2,,,,no,0.328,0.284,3756,3318,-0.208,ENSG00000145386,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",
CCNB1,,,,no,0.945,0.918,10827,10722,-0.043,ENSG00000134057,G2/mitotic-specific cyclin-B1,Cytoplasm;Nucleus;Cytoplasm,enucleated reticulocyte,
CCNB2,,,,no,0.177,0.116,2027,1350,-0.615,ENSG00000157456,G2/mitotic-specific cyclin-B2,,"double-positive, alpha-beta thymocyte;DN4 thymocyte",
CCNB3,,,,no,0.161,0.147,1843,1718,-0.13,ENSG00000147082,G2/mitotic-specific cyclin-B3,Nucleus,,
CCND1,,,,no,9.831,5.998,112592,70080,-0.713,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,
CCND2,,,,no,17.11,16.337,195956,190890,-0.067,ENSG00000118971,G1/S-specific cyclin-D2,Nucleus,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",
CCND3,,,,no,2.449,1.864,28049,21786,-0.393,ENSG00000112576,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",
CCNE1,,,,no,0.241,0.336,2755,3925,0.482,ENSG00000105173,G1/S-specific cyclin-E1,Nucleus,extravillous trophoblast;erythroblast,
CD82,,,,no,5.534,6.383,63382,74579,0.206,ENSG00000085117,CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82),Cell membrane,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;follicular dendritic cell;eosinophil;erythroid progenitor cell, mammalian;basophil mast progenitor cell;pro-T cell;early T lineage precursor",
CDC25A,,,,no,0.369,0.252,4223,2946,-0.548,ENSG00000164045,M-phase inducer phosphatase 1,,,
CDC27,,,,no,6.788,5.894,77740,68868,-0.204,ENSG00000004897,Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC),Nucleus,enucleate erythrocyte;erythroblast,
CDH13,,,,no,0.128,0.104,1467,1217,-0.298,ENSG00000140945,Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin),Cell membrane,basal cell of epidermis;stem cell of epidermis;basal epithelial cell of prostatic duct;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast,
CDK1,,,,no,0.48,0.229,5502,2671,-1.071,ENSG00000170312,Cyclin-dependent kinase 1 (CDK1),Nucleus,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",
CDK2,,,,no,2.645,2.406,30290,28108,-0.137,ENSG00000123374,Cyclin-dependent kinase 2,Cytoplasm,,
CDK4,,,,no,7.883,8.209,90289,95916,0.058,ENSG00000135446,Cyclin-dependent kinase 4,Cytoplasm,glioblast;Schwann cell precursor;macrophage dendritic cell progenitor,
CDK5,,,,no,1.22,1.269,13967,14830,0.058,ENSG00000164885,Cyclin-dependent kinase 5,Nucleus,,
CDK6,,,,no,4.843,5.728,55469,66927,0.242,ENSG00000105810,Cyclin-dependent kinase 6,Cytoplasm;Nucleus;Cell projection,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",
CDKN1A,,,,no,15.485,12.015,177354,140389,-0.366,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,
CDKN1B,,,,no,8.969,11.332,102727,132413,0.337,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",
CDKN2A,,,,no,0.184,0.103,2112,1198,-0.847,ENSG00000147889,Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A),Cytoplasm,glandular epithelial cell;fallopian tube secretory epithelial cell,
CDKN2AIP,,,,no,2.671,2.47,30591,28856,-0.113,ENSG00000168564,CDKN2A-interacting protein (Collaborator of ARF),Nucleus,,
CDKN2B,,,,no,2.141,1.115,24525,13030,-0.941,ENSG00000147883,Cyclin-dependent kinase 4 inhibitor B (Multiple tumor suppressor 2) (MTS-2) (p14-INK4b) (p15-INK4b) (p15INK4B),Cytoplasm,intestinal crypt stem cell of large intestine,
CEBPA,,,,no,3.041,3.474,34830,40589,0.192,ENSG00000245848,CCAAT/enhancer-binding protein alpha (C/EBP alpha),Nucleus,intestinal crypt stem cell of large intestine,
CGRRF1,,,,no,2.805,2.492,32125,29122,-0.17,ENSG00000100532,Cell growth regulator with RING finger domain protein 1 (Cell growth regulatory gene 19 protein) (RING finger protein 197),Nucleus,,
CHD3,,,,no,18.251,18.189,209023,212530,-0.005,ENSG00000170004,Chromodomain-helicase-DNA-binding protein 3 (CHD-3),Nucleus,,
CHEK1,,,,no,0.797,0.677,9125,7905,-0.236,ENSG00000149554,Serine/threonine-protein kinase Chk1,Nucleus,,
CHEK2,,,,no,1.089,1.156,12477,13506,0.085,ENSG00000183765,Serine/threonine-protein kinase Chk2,Nucleus,,
COQ8A,,,,no,12.977,17.428,148627,203643,0.425,ENSG00000163050,"Atypical kinase COQ8A, mitochondrial",Mitochondrion,slow muscle cell,
CSNK2A2,,,,no,13.538,15.372,155050,179613,0.183,ENSG00000070770,Casein kinase II subunit alpha' (CK II alpha'),Nucleus,,
CSNK2B,,,,no,23.744,24.972,271940,291789,0.073,ENSG00000204435,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),Nucleus,"erythroid progenitor cell, mammalian",
CYCS,,,,no,10.654,5.669,122015,66245,-0.91,ENSG00000172115,Cytochrome c,Mitochondrion intermembrane space,epithelial cell of urethra;osteoclast;fibroblast of connective tissue of nonglandular part of prostate,
CYFIP2,,,,no,1.784,1.8,20436,21034,0.013,ENSG00000055163,Cytoplasmic FMR1-interacting protein 2 (p53-inducible protein 121),Cytoplasm,kidney collecting duct principal cell;renal principal cell;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle epithelial cell;lung secretory cell,
DAXX,,,,no,4.933,4.124,56500,48183,-0.259,ENSG00000204209,Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein),Cytoplasm,,
DDB2,,,,no,2.322,3.553,26595,41514,0.614,ENSG00000134574,DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2),Nucleus,,
DDIT3,,,,no,0.975,1.594,11171,18628,0.709,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,
DRAM1,,,,no,3.346,1.734,38323,20262,-0.948,ENSG00000136048,DNA damage-regulated autophagy modulator protein 1 (Damage-regulated autophagy modulator),Lysosome membrane,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,
E2F1,,,,no,0.466,0.294,5341,3440,-0.664,ENSG00000101412,Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1),Nucleus,,
E2F3,,,,no,1.512,1.104,17319,12901,-0.454,ENSG00000112242,Transcription factor E2F3 (E2F-3),Nucleus,,
E2F4,,,,no,3.787,3.274,43374,38259,-0.21,ENSG00000205250,Transcription factor E2F4 (E2F-4),Nucleus,erythroblast,
EED,,,,no,3.084,3.372,35316,39405,0.129,ENSG00000074266,Polycomb protein EED (hEED) (Embryonic ectoderm development protein) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1),Nucleus;Chromosome,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell",
EHMT1,,,,no,3.094,3.208,35440,37484,0.052,ENSG00000181090,Histone-lysine N-methyltransferase EHMT1,Nucleus;Chromosome,,
EHMT2,,,,no,4.097,5.806,46922,67842,0.503,ENSG00000204371,Histone-lysine N-methyltransferase EHMT2,Nucleus,,
EIF4EBP1,,,,no,32.9,30.067,376798,351319,-0.13,ENSG00000187840,Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I),,endothelial cell of umbilical vein;osteoclast,
EP300,,,,no,13.387,15.102,153325,176464,0.174,ENSG00000100393,Histone acetyltransferase p300 (p300 HAT),Cytoplasm,enucleate erythrocyte,
EPHA2,,,,no,3.87,3.692,44319,43141,-0.068,ENSG00000142627,Ephrin type-A receptor 2,Cell membrane,basal cell of epithelium of bronchus;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;club cell;basal epithelial cell of tracheobronchial tree;conjunctival epithelial cell;bladder cell,EPHA
EPHX1,,,,no,19.551,23.996,223921,280392,0.296,ENSG00000143819,Epoxide hydrolase 1,Microsome membrane,respiratory basal cell;basal cell of epithelium of trachea;respiratory goblet cell;tracheal goblet cell;granulosa cell;Leydig cell;keratocyte;bronchus fibroblast of lung,
ERCC5,,,,no,4.506,5.207,51608,60846,0.209,ENSG00000134899,DNA excision repair protein ERCC-5,Nucleus,,
ETS1,,,,no,1.926,1.752,22061,20472,-0.137,ENSG00000134954,Protein C-ets-1 (p54),Nucleus,"prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mature NK T cell;type I NK T cell;regulatory T cell;naive T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;DN1 thymic pro-T cell",
EXO1,,,,no,0.164,0.092,1882,1075,-0.837,ENSG00000174371,Exonuclease 1 (hExo1),Nucleus,,
EZH2,,,,no,1.851,2.194,21194,25631,0.245,ENSG00000106462,Histone-lysine N-methyltransferase EZH2,Nucleus,"double-positive, alpha-beta thymocyte;DN4 thymocyte;precursor B cell;large pre-B-II cell;pro-B cell",
F2R,,,,no,1.599,1.326,18309,15489,-0.27,ENSG00000181104,Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor),Cell membrane,endothelial tip cell;endothelial cell of umbilical vein;endocardial cell;pancreatic stellate cell,PARs;KLK;PROCR
FAS,,,,no,1.751,1.442,20051,16855,-0.279,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Secreted,basal cell of prostate epithelium;medullary thymic epithelial cell,FASLG
FBXW11,,,,no,7.449,6.098,85312,71251,-0.289,ENSG00000072803,F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS),Cytoplasm,,
FBXW7,,,,no,1.6,1.316,18329,15374,-0.283,ENSG00000109670,F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4),Nucleus,basal cell of epidermis,
FGF13,,,,no,0.273,0.203,3124,2368,-0.429,ENSG00000129682,Fibroblast growth factor 13 (FGF-13) (Fibroblast growth factor homologous factor 2) (FHF-2),Cytoplasm,chromaffin cell;epithelial cell of sweat gland;kidney distal convoluted tubule epithelial cell;ciliary muscle cell;neuronal brush cell;visceromotor neuron,
