gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
DPM1,,,,,N-Glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With Glycosylation Precursor Biosynthesis R-HSA-5609975;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592;Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219
DPP8,,,,,,
DPPA2,,,,,,
DRC3,,,,,,
DRG1,,,,,,
DTNBP1,,,,,,Golgi Associated Vesicle Biogenesis R-HSA-432722;Membrane Trafficking R-HSA-199991;Vesicle-mediated Transport R-HSA-5653656;trans-Golgi Network Vesicle Budding R-HSA-199992
DUSP13,,,,,,
DUSP28,,,,,,
DUX4,,,,,,
DYDC1,,,,,,
DYRK1B,,,,,,
DZIP1L,,,,,,
E4F1,,,,,,
ECHDC1,,,,,Propanoate metabolism,
ECPAS,,,,,,
EDRF1,,,,,,
EEF1AKNMT,,,,,,
EFHC2,,,,,,
EGFL8,,,,,,
EIF1AD,,,,,,
EIF4EBP2,,,,,Longevity regulating pathway;RNA transport,
EIF4EBP3,,,,,RNA transport,
EIF4ENIF1,,,,,,
EIF5AL1,,,,,,"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592"
EIPR1,,,,,,
ELAC1,,,,,RNA transport,
ELFN1,,,,,,
ELMOD1,,,,,,
ELMOD2,,,,,,
ELSPBP1,,,,,,
EMC1,,,,,,
EMC4,,,,,,
EMSY,,,,,,
EN1,,,,,,
EN2,,,,,,
ENOX2,,,,,,
ENTPD2,,,,,Purine metabolism;Taste transduction,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Catabolism R-HSA-8956319;Phosphate Bond Hydrolysis By NTPDase Proteins R-HSA-8850843
EPDR1,,,,,,
EPG5,,,,,,
EPHA1,,,,,Axon guidance,"Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Nervous System Development R-HSA-9675108;POU5F1 (OCT4), SOX2, NANOG Activate Genes Related To Proliferation R-HSA-2892247;Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723"
EPHA10,,,,,,Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Nervous System Development R-HSA-9675108
EPHA4,,,,,Axon guidance,Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Nervous System Development R-HSA-9675108
EPHA8,,,,,Axon guidance,Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Nervous System Development R-HSA-9675108
EPHB1,,,,,Axon guidance,Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Ephrin Signaling R-HSA-3928664;Nervous System Development R-HSA-9675108
EPRS,,,,,,
ERAS,,,,,,
ERFE,,,,,,
ERG28,,,,,,
ERGIC2,,,,,,
ERLIN2,,,,,,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Defective CFTR Causes Cystic Fibrosis R-HSA-5678895;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Disorders Of Transmembrane Transporters R-HSA-5619115;FGFR1 Mutant Receptor Activation R-HSA-1839124;Signaling By FGFR In Disease R-HSA-1226099;Signaling By FGFR1 In Disease R-HSA-5655302;Transport Of Small Molecules R-HSA-382551
ERVFRD-1,,,,,,
ESF1,,,,,,
EYA1,,,,,Transcriptional misregulation in cancer,DNA Double Strand Break Response R-HSA-5693606;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565
EZHIP,,,,,,
FAAH,,,,,Retrograde endocannabinoid signaling,
FABP3,,,,Myogenesis,PPAR signaling pathway,Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Triglyceride Catabolism R-HSA-163560;Triglyceride Metabolism R-HSA-8979227
FAF2,,,,,,"Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695;RHO GTPase Cycle R-HSA-9012999;RHOA GTPase Cycle R-HSA-8980692;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
FAIM,,,,,,
FAIM2,,,,,,
FAM117B,,,,,,
FAM131C,,,,,,
FAM161A,,,,,,
FAM168A,,,,,,
FAM193A,,,,,,
FAM3A,,,,,,
FAM53C,,,,,,
FAM76B,,,,,,
FAM98A,,,,,,
FAM9B,,,,,,
FAT2,,,,,,
FBXO16,,,,,,
FBXO25,,,,,FoxO signaling pathway,
FBXO33,,,,,,
FBXO42,,,,,,
FBXO43,,,,,Oocyte meiosis,
FBXO45,,,,,,
FCRL4,,,,,,
FETUB,,,,Xenobiotic Metabolism,,
FEZF2,,,,,,
FIBCD1,,,,,,
FIBP,,,,,,
FKBP15,,,,,,
FKTN,,,,,Mannose type O-glycan biosynthesis,
FLII,,,,Myogenesis,,
FLYWCH1,,,,,,
FMC1,,,,,,
FMO3,,,,Xenobiotic Metabolism,Drug metabolism,Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029;Metabolism R-HSA-1430728;Phase I - Functionalization Of Compounds R-HSA-211945
FN3KRP,,,,,,"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592"
FNDC5,,,,,,
FOXB1,,,,,,
FOXD2,,,,,,
FOXE1,,,,,,
FOXE3,,,,,,
FOXI1,,,,,,
FOXP4,,,,,,
FOXRED1,,,,,,
FRA10AC1,,,,,,
FSIP1,,,,,,
FTO,,,,,,DNA Damage Reversal R-HSA-73942;DNA Repair R-HSA-73894;Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943
FUBP3,,,,,,
FUT3,,,,,Glycosphingolipid biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Blood Group Systems Biosynthesis R-HSA-9033658;Lewis Blood Group Biosynthesis R-HSA-9037629;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387;Metabolism Of Proteins R-HSA-392499;N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576;Post-translational Protein Modification R-HSA-597592;Reactions Specific To Complex N-glycan Synthesis Pathway R-HSA-975578;Transport To Golgi And Subsequent Modification R-HSA-948021
FXR2,,,,,RNA transport,
GAGE1,,,,,,
GALP,,,,,,
GANC,,,,,Galactose metabolism;Starch and sucrose metabolism,
GART,,,,Xenobiotic Metabolism,One carbon pool by folate;Purine metabolism,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Biosynthesis R-HSA-8956320;Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817
GAS2L1,,,,,,
GBX2,,,,,,
GCKR,,,,Xenobiotic Metabolism,,
GCM1,,,,,"Parathyroid hormone synthesis, secretion and action",
GCN1,,,,,,Cellular Response To Starvation R-HSA-9711097;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012
GCNT4,,,,,Mucin type O-glycan biosynthesis,Metabolism Of Proteins R-HSA-392499;O-linked Glycosylation R-HSA-5173105;O-linked Glycosylation Of Mucins R-HSA-913709;Post-translational Protein Modification R-HSA-597592
GDA,,,,Coagulation,Purine metabolism,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Catabolism R-HSA-8956319;Purine Catabolism R-HSA-74259
GHITM,,,,Adipogenesis,,
GIGYF1,,,,,,
GIPC2,,,,,,
GJB1,,,,,,Developmental Biology R-HSA-1266738;EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665;Gap Junction Assembly R-HSA-190861;Gap Junction Trafficking R-HSA-190828;Gap Junction Trafficking And Regulation R-HSA-157858;Membrane Trafficking R-HSA-199991;Nervous System Development R-HSA-9675108;Vesicle-mediated Transport R-HSA-5653656
GKN1,,,,,,
GLCCI1,,,,,,
GLOD4,,,,,,
GLYR1,,,,,,
GMEB1,,,,,,
GMEB2,,,,,,
GNB1L,,,,,,
GNL2,,,,,Ribosome biogenesis in eukaryotes,
GPBP1L1,,,,,,
GPN1,,,,,,
GPN2,,,,,,
GPR1,,,,,,
GPR101,,,,,,
GPR12,,,,,,
GPR135,,,,,,
GPR137,,,,,,
GPR139,,,,,,
GPR149,,,,,,
GPR158,,,,,,
GPR22,,,,,,
GPR26,,,,,,
GPR63,,,,,,
GPR85,,,,,,
GPR88,,,,,,
GPRASP1,,,,,,
GPRASP2,,,,,,
GPRIN2,,,,,,
GPT,,,,,"Alanine, aspartate and glutamate metabolism;Arginine biosynthesis",Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291
GRAMD1A,,,,,,
GRAMD2B,,,,,,
GSX2,,,,,,
GTF2A1L,,,,,Basal transcription factors;Viral carcinogenesis,
GTPBP1,,,,,,
GTPBP10,,,,,,
GTPBP4,,,,,Ribosome biogenesis in eukaryotes,
GUCY2C,,,,,Purine metabolism,Digestion R-HSA-8935690;Digestion And Absorption R-HSA-8963743;Disease R-HSA-1643685;Infectious Disease R-HSA-5663205;Uptake And Actions Of Bacterial Toxins R-HSA-5339562
H2AFX,,,,,,
H3F3B,,,,,,
HABP2,,,,,,
HAVCR1,,,,,,Disease R-HSA-1643685;Early SARS-CoV-2 Infection Events R-HSA-9772572;Infectious Disease R-HSA-5663205;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516
HEATR3,,,,,,
HEATR5A,,,,,,
HEATR5B,,,,,,
HEATR6,,,,,,
HECA,,,,,,Histidine Catabolism R-HSA-70921;Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291
HECTD4,,,,,,
HEPACAM,,,,,,
HESX1,,,,,Signaling pathways regulating pluripotency of stem cells,
HGH1,,,,,,
HHLA2,,,,,,
HIVEP2,,,,,,
HMGN5,,,,,,
HMX2,,,,,,
HNRNPF,,,,,,Cytokine Signaling In Immune System R-HSA-1280215;FGFR2 Alternative Splicing R-HSA-6803529;Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505;Immune System R-HSA-168256;Interleukin-12 Family Signaling R-HSA-447115;Interleukin-12 Signaling R-HSA-9020591;Metabolism Of RNA R-HSA-8953854;Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203;Signal Transduction R-HSA-162582;Signaling By FGFR R-HSA-190236;Signaling By FGFR2 R-HSA-5654738;Signaling By Interleukins R-HSA-449147;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;mRNA Splicing - Major Pathway R-HSA-72163;mRNA Splicing R-HSA-72172
HOTAIR,,,,,,
HOXA13,,,,,,
HOXA9,,,,,Transcriptional misregulation in cancer,
HOXB6,,,,,,
HOXB7,,,,,,
HOXC11,,,,,,
HPS5,,,,,,
HPSE,,,,,Glycosaminoglycan degradation;Proteoglycans in cancer,Glycosaminoglycan Metabolism R-HSA-1630316;HS-GAG Degradation R-HSA-2024096;Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387;Neutrophil Degranulation R-HSA-6798695
HS3ST3A1,,,,,Glycosaminoglycan biosynthesis,Glycosaminoglycan Metabolism R-HSA-1630316;HS-GAG Biosynthesis R-HSA-2022928;Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387
HSD17B2,,,,Xenobiotic Metabolism,Ovarian steroidogenesis;Steroid hormone biosynthesis,Estrogen Biosynthesis R-HSA-193144;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Steroid Hormones R-HSA-196071;Metabolism Of Steroids R-HSA-8957322
HSDL1,,,,,,
HSF1,,,,,Legionellosis,Aggrephagy R-HSA-9646399;Attenuation Phase R-HSA-3371568;Autophagy R-HSA-9612973;Cellular Response To Heat Stress R-HSA-3371556;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;HSF1 Activation R-HSA-3371511;HSF1-dependent Transactivation R-HSA-3371571;Macroautophagy R-HSA-1632852;Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453;Selective Autophagy R-HSA-9663891
HSF4,,,,,,
HSPB11,,,,,,Cilium Assembly R-HSA-5617833;Intraflagellar Transport R-HSA-5620924;Organelle Biogenesis And Maintenance R-HSA-1852241
HSPB3,,,,,,
HTT,,,,,Huntington disease;Pathways of neurodegeneration,
IARS2,,,,,Aminoacyl-tRNA biosynthesis,Metabolism Of Proteins R-HSA-392499;Mitochondrial tRNA Aminoacylation R-HSA-379726;Translation R-HSA-72766;tRNA Aminoacylation R-HSA-379724
IFI35,,,,Interferon Alpha Response;Interferon Gamma Response,,Cytokine Signaling In Immune System R-HSA-1280215;Immune System R-HSA-168256;Interferon Signaling R-HSA-913531;Interferon Alpha/Beta Signaling R-HSA-909733
IGBP1,,,,,Autophagy,
IGF2BP1,,,,,MicroRNAs in cancer,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359;MAPK Family Signaling Cascades R-HSA-5683057;MAPK6/MAPK4 Signaling R-HSA-5687128;Metabolism Of RNA R-HSA-8953854;Signal Transduction R-HSA-162582
IGF2BP3,,,,,,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359;Metabolism Of RNA R-HSA-8953854
IGFN1,,,,,,
IGSF1,,,,Estrogen Response Late,,
IGSF8,,,,,,
IGSF9B,,,,,,
ILDR2,,,,,,
IMPDH1,,,,,Drug metabolism;Purine metabolism,
INCA1,,,,,,
ING1,,,,,,
INKA2,,,,,,
INSRR,,,,,Prostate cancer;Regulation of actin cytoskeleton,
INVS,,,,,Wnt signaling pathway,
IPO11,,,,,,
IPO5,,,,,,Disease R-HSA-1643685;Infectious Disease R-HSA-5663205;Influenza Infection R-HSA-168255;Influenza Viral RNA Transcription And Replication R-HSA-168273;vRNP Assembly R-HSA-192905
IPO9,,,,,,
IPP,,,,,,
IRF2BP1,,,,,,
IRF2BPL,,,,,,
IRGM,,,,,Toxoplasmosis,
IRGQ,,,,,,
ISOC2,,,,,,
ITPRID2,,,,,,
JDP2,,,,,,
JMJD4,,,,,,
JPH1,,,,,,
JPT2,,,,,,
JRK,,,,,,
KCNJ13,,,,,Protein digestion and absorption,
KCNK12,,,,,,Cardiac Conduction R-HSA-5576891;Muscle Contraction R-HSA-397014;Phase 4 - Resting Membrane Potential R-HSA-5576886
KCNRG,,,,,,
KCNT1,,,,,,
KCTD10,,,,,,
KCTD11,,,,,,Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377;Metabolism Of Proteins R-HSA-392499;Peptide Hormone Metabolism R-HSA-2980736
KCTD20,,,,,,
KCTD5,,,,,,
KCTD9,,,,,,
KDM8,,,,,,
KIAA1191,,,,,,
KIAA2013,,,,,,
KIF1A,,,,,,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434;Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231;Golgi-to-ER Retrograde Transport R-HSA-8856688;Hemostasis R-HSA-109582;Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442;Kinesins R-HSA-983189;Membrane Trafficking R-HSA-199991;Vesicle-mediated Transport R-HSA-5653656
KLF14,,,,,,
KLF16,,,,,,
KLF17,,,,,,
KLHDC2,,,,,,
KLHL26,,,,,,
KLHL8,,,,,,
KLK10,,,,Estrogen Response Early;Estrogen Response Late,,
KLK15,,,,,,
KNDC1,,,,,,
KNSTRN,,,,,,
KPNA3,,,,,Chemical carcinogenesis;Salmonella infection,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410;Cytokine Signaling In Immune System R-HSA-1280215;Disease R-HSA-1643685;ISG15 Antiviral Mechanism R-HSA-1169408;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Influenza Infection R-HSA-168255;Interferon Signaling R-HSA-913531;NS1 Mediated Effects On Host Pathways R-HSA-168276
KPRP,,,,,,
LACRT,,,,,,
LAIR1,,,,,,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
LANCL2,,,,,,
LARP4,,,,,,
LARP4B,,,,,,
LASP1,,,,,,
LATS2,,,,Interferon Gamma Response,Hippo signaling pathway,Signal Transduction R-HSA-162582;Signaling By Hippo R-HSA-2028269
LBX1,,,,,,
LENG8,,,,,,
LGALS13,,,,,,
LGALS14,,,,,,
LGALS8,,,,,,
LGALSL,,,,,,
LGR4,,,,,Wnt signaling pathway,Regulation Of FZD By Ubiquitination R-HSA-4641263;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681
LILRA6,,,,,B cell receptor signaling pathway;Osteoclast differentiation,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
LIM2,,,,,,
LIMK1,,,,,Axon guidance;Fc gamma R-mediated phagocytosis;Human immunodeficiency virus 1 infection;Regulation of actin cytoskeleton;Yersinia infection,"Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPHB-mediated Forward Signaling R-HSA-3928662;Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Nervous System Development R-HSA-9675108;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate ROCKs R-HSA-5627117;RHO GTPases Activate PAKs R-HSA-5627123;Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482;Sema3A PAK Dependent Axon Repulsion R-HSA-399954;Sema4D In Semaphorin Signaling R-HSA-400685;Sema4D Induced Cell Migration And Growth-Cone Collapse R-HSA-416572;Semaphorin Interactions R-HSA-373755;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
LIN28A,,,,,,Developmental Biology R-HSA-1266738;Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723
LIN28B,,,,,,
LINS1,,,,,,
LIPF,,,,,Fat digestion and absorption;Glycerolipid metabolism,Digestion R-HSA-8935690;Digestion And Absorption R-HSA-8963743;Digestion Of Dietary Lipid R-HSA-192456
LMBR1L,,,,,,
LONP1,,,,Xenobiotic Metabolism,,Cytokine Signaling In Immune System R-HSA-1280215;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;FLT3 Signaling In Disease R-HSA-9682385;Immune System R-HSA-168256;Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807;STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518;Signaling By FLT3 ITD And TKD Mutants R-HSA-9703648;Signaling By FLT3 Fusion Proteins R-HSA-9703465;Signaling By Interleukins R-HSA-449147
LONRF3,,,,,,
LRATD2,,,,,,
LRBA,,,,,,
LRIF1,,,,,,DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Nonhomologous End-Joining (NHEJ) R-HSA-5693571
LRRC20,,,,,,
LRRC3,,,,,,
LRRC38,,,,,,
LRRC45,,,,,,
LRRC47,,,,,,
LRRTM1,,,,,,Neurexins And Neuroligins R-HSA-6794361;Neuronal System R-HSA-112316;Protein-protein Interactions At Synapses R-HSA-6794362
LSG1,,,,,Ribosome biogenesis in eukaryotes,
LSM12,,,,,,
LUC7L,,,,,,
LURAP1,,,,,,
LZIC,,,,,,
MAEA,,,,,,
MAGEA11,,,,,,
MAGEB2,,,,,,
MAGEC1,,,,,,
MAGEC2,,,,,,
MAK,,,,Androgen Response,,
MANEA,,,,,,Asparagine N-linked Glycosylation R-HSA-446203;Metabolism Of Proteins R-HSA-392499;N-glycan Trimming And Elongation In cis-Golgi R-HSA-964739;Post-translational Protein Modification R-HSA-597592;Transport To Golgi And Subsequent Modification R-HSA-948021
MAP3K15,,,,,,
MAP4,,,,,,
MAP7D1,,,,,,
MAPK15,,,,,IL-17 signaling pathway,
MAPRE2,,,,,,
MARK2,,,,UV Response Up,,
MAT1A,,,,,Cysteine and methionine metabolism,"Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029;Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Ingested SeMet, Sec, MeSec Into H2Se R-HSA-2408508;Methylation R-HSA-156581;Phase II - Conjugation Of Compounds R-HSA-156580;Selenoamino Acid Metabolism R-HSA-2408522;Sulfur Amino Acid Metabolism R-HSA-1614635"
MBNL1,,,,,,
MCCC1,,,,Adipogenesis,"Valine, leucine and isoleucine degradation",Biotin Transport And Metabolism R-HSA-196780;Branched-chain Amino Acid Catabolism R-HSA-70895;Defective HLCS Causes Multiple Carboxylase Deficiency R-HSA-3371599;Defects In Biotin (Btn) Metabolism R-HSA-3323169;Defects In Vitamin And Cofactor Metabolism R-HSA-3296482;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849
MCM3AP,,,,,,
MCM9,,,,,,
MCTS1,,,,,,
MDM1,,,,,,
MED1,,,,,Thyroid hormone signaling pathway,
MEGF8,,,,,Hedgehog signaling pathway,
MEIS3,,,,,,
MEPCE,,,,,,
METTL16,,,,,,
METTL18,,,,,,
METTL2A,,,,,,
METTL3,,,,Estrogen Response Late,,Metabolism Of RNA R-HSA-8953854;Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203
MFF,,,,,,
MFRP,,,,,,
MFSD5,,,,,,
MID2,,,,,,
MIEN1,,,,,,
MIIP,,,,,,
MINDY1,,,,Estrogen Response Early,,
MINDY2,,,,,,
MIPOL1,,,,,,
MITD1,,,,,,
MKRN2,,,,,,
MKRN3,,,,,,
MLANA,,,,,,
MMACHC,,,,,Vitamin digestion and absorption,"Cobalamin (Cbl) Metabolism R-HSA-9759218;Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741;Defects In Cobalamin (B12) Metabolism R-HSA-3296469;Defects In Vitamin And Cofactor Metabolism R-HSA-3296482;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Metabolism R-HSA-1430728;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849"
MMADHC,,,,,,"Cobalamin (Cbl) Metabolism R-HSA-9759218;Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741;Defects In Cobalamin (B12) Metabolism R-HSA-3296469;Defects In Vitamin And Cofactor Metabolism R-HSA-3296482;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Metabolism R-HSA-1430728;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849"
MMEL1,,,,,,
MNS1,,,,,,
MOB4,,,,,,
MON2,,,,Protein Secretion,,
MPDU1,,,,,,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
MPHOSPH9,,,,,,
MR1,,,,,,
MRAP,,,,Adipogenesis,Cortisol synthesis and secretion;Cushing syndrome,
MRAP2,,,,,,
MRFAP1L1,,,,,,
MRGPRX2,,,,,,
