gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
SCN4B,,,,,Adrenergic signaling in cardiomyocytes,"Axon Guidance R-HSA-422475;Cardiac Conduction R-HSA-5576891;Developmental Biology R-HSA-1266738;Interaction Between L1 And Ankyrins R-HSA-445095;L1CAM Interactions R-HSA-373760;Muscle Contraction R-HSA-397014;Nervous System Development R-HSA-9675108;Phase 0 - Rapid Depolarisation R-HSA-5576892;Sensory Perception R-HSA-9709957;Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207;Sensory Perception Of Taste R-HSA-9717189"
SCN8A,,,,UV Response Dn,,Axon Guidance R-HSA-422475;Cardiac Conduction R-HSA-5576891;Developmental Biology R-HSA-1266738;Interaction Between L1 And Ankyrins R-HSA-445095;L1CAM Interactions R-HSA-373760;Muscle Contraction R-HSA-397014;Nervous System Development R-HSA-9675108;Phase 0 - Rapid Depolarisation R-HSA-5576892
SCRN1,,,,Protein Secretion,,
SDHAF3,,,,,,
SDK2,,,,,,Cell Junction Organization R-HSA-446728;Cell-Cell Communication R-HSA-1500931;Cell-cell Junction Organization R-HSA-421270
SEC16A,,,,,,Asparagine N-linked Glycosylation R-HSA-446203;COPII-mediated Vesicle Transport R-HSA-204005;ER To Golgi Anterograde Transport R-HSA-199977;Membrane Trafficking R-HSA-199991;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Transport To Golgi And Subsequent Modification R-HSA-948021;Vesicle-mediated Transport R-HSA-5653656
SEMA3F,,,,,Axon guidance,
SEMA4B,,,,,Axon guidance,
SEMA4C,,,,,Axon guidance,
SENP1,,,,,,"Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Processing And Activation Of SUMO R-HSA-3215018;RHO GTPase Cycle R-HSA-9012999;RHOF GTPase Cycle R-HSA-9035034;SUMO Is Proteolytically Processed R-HSA-3065679;SUMOylation R-HSA-2990846;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
SENP6,,,,,,
SEPTIN5,,,,,Parkinson disease;Pathways of neurodegeneration,
SERPINA12,,,,,,
SERPINA9,,,,,,
SERPINB7,,,,,,
SETD4,,,,,,
SFSWAP,,,,,,
SFXN2,,,,,,
SH3BGR,,,,Myogenesis,,
SH3BP5L,,,,,,
SH3TC2,,,,,,
SHBG,,,,,,
SHLD1,,,,,,
SHLD2,,,,,,
SHOX,,,,,,
SIAE,,,,,,
SIGIRR,,,,,,Cytokine Signaling In Immune System R-HSA-1280215;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Interleukin-1 Family Signaling R-HSA-446652;Interleukin-37 Signaling R-HSA-9008059;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;Signaling By Interleukins R-HSA-449147;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll-like Receptor Cascades R-HSA-168898
SIGLEC11,,,,,,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933
SIGLEC7,,,,,,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933
SIGLEC9,,,,,Neutrophil extracellular trap formation,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
SIGMAR1,,,,UV Response Up,Amyotrophic lateral sclerosis;Pathways of neurodegeneration,Disease R-HSA-1643685;Infectious Disease R-HSA-5663205;Potential Therapeutics For SARS R-HSA-9679191;SARS-CoV Infections R-HSA-9679506
SIMC1,,,,,,
SIRT7,,,,,Nicotinate and nicotinamide metabolism,
SKA3,,,,,,
SLAMF8,,,,,,
SLC10A1,,,,,Bile secretion;Hepatitis B,Bile Acid And Bile Salt Metabolism R-HSA-194068;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Steroids R-HSA-8957322;Recycling Of Bile Acids And Salts R-HSA-159418
SLC12A6,,,,,,Cation-coupled Chloride Cotransporters R-HSA-426117;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;SLC Transporter Disorders R-HSA-5619102;SLC-mediated Transmembrane Transport R-HSA-425407;Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393;Transport Of Small Molecules R-HSA-382551
SLC16A4,,,,,,
SLC22A9,,,,,,
SLC25A39,,,,,,
SLC25A40,,,,,,
SLC2A4RG,,,,,,
SLC35E1,,,,,,
SLC35G2,,,,,,
SLC38A7,,,,,,
SLC39A11,,,,,,
SLC39A9,,,,,,
SLC4A1AP,,,,,,
SLC5A2,,,,,,Cellular Hexose Transport R-HSA-189200;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;SLC Transporter Disorders R-HSA-5619102;SLC-mediated Transmembrane Transport R-HSA-425407;Transport Of Small Molecules R-HSA-382551
SLC6A17,,,,,,
SLCO1B1,,,,,Bile secretion,"Atorvastatin ADME R-HSA-9754706;Bile Acid And Bile Salt Metabolism R-HSA-194068;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Drug ADME R-HSA-9748784;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Porphyrins R-HSA-189445;Metabolism Of Steroids R-HSA-8957322;Recycling Of Bile Acids And Salts R-HSA-159418;SLC Transporter Disorders R-HSA-5619102;SLC-mediated Transmembrane Transport R-HSA-425407;Transport Of Organic Anions R-HSA-879518;Transport Of Small Molecules R-HSA-382551;Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397"
SLCO1B3,,,,,Bile secretion,"Atorvastatin ADME R-HSA-9754706;Bile Acid And Bile Salt Metabolism R-HSA-194068;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Drug ADME R-HSA-9748784;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Porphyrins R-HSA-189445;Metabolism Of Steroids R-HSA-8957322;Recycling Of Bile Acids And Salts R-HSA-159418;SLC Transporter Disorders R-HSA-5619102;SLC-mediated Transmembrane Transport R-HSA-425407;Transport Of Organic Anions R-HSA-879518;Transport Of Small Molecules R-HSA-382551;Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397"
SLFN11,,,,,,
SLITRK1,,,,,,Neuronal System R-HSA-112316;Protein-protein Interactions At Synapses R-HSA-6794362;Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844
SLITRK5,,,,,,"Neuronal System R-HSA-112316;Protein-protein Interactions At Synapses R-HSA-6794362;RAC2 GTPase Cycle R-HSA-9013404;RAC3 GTPase Cycle R-HSA-9013423;RHO GTPase Cycle R-HSA-9012999;Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
SMARCA1,,,,,,
SMARCAD1,,,,,Signaling pathways regulating pluripotency of stem cells,
SMARCAL1,,,,,,
SMN1,,,,,RNA transport,Disease R-HSA-1643685;Infectious Disease R-HSA-5663205;Metabolism Of RNA R-HSA-8953854;Metabolism Of Non-Coding RNA R-HSA-194441;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678;SARS-CoV-2-host Interactions R-HSA-9705683
SMN2,,,,,RNA transport,
SMO,,,,,Axon guidance;Basal cell carcinoma;Hedgehog signaling pathway;Pathways in cancer;Proteoglycans in cancer,
SMPDL3B,,,,,,
SNAP47,,,,,,
SND1,,,,,Viral carcinogenesis,Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Oncogenic MAPK Signaling R-HSA-6802957;Signaling By BRAF And RAF1 Fusions R-HSA-6802952
SNHG11,,,,,,
SNHG15,,,,,,
SNURF,,,,,,
SNX11,,,,,,
SNX15,,,,,,
SNX16,,,,,,
SNX17,,,,,,
SNX19,,,,,,
SNX27,,,,,,
SNX33,,,,,Salmonella infection,
SOHLH2,,,,,,
SORCS2,,,,,,
SOX1,,,,,,
SOX14,,,,,,
SOX30,,,,,,
SOX8,,,,,,
SP3,,,,,,Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of Transcription Factors R-HSA-3232118
SP9,,,,,,
SPAAR,,,,,,
SPAG1,,,,,,
SPAG8,,,,,,
SPANXB1,,,,,,
SPATA5,,,,,Ribosome biogenesis in eukaryotes,
SPATA5L1,,,,,,
SPATA7,,,,,,
SPATS2,,,,,,
SPDYA,,,,,Oocyte meiosis;Progesterone-mediated oocyte maturation,
SPECC1,,,,,,
SPICE1,,,,,,
SPIN1,,,,,,
SPIN2A,,,,,,
SPIN3,,,,,,
SPINK7,,,,,,
SPO11,,,,,,Cell Cycle R-HSA-1640170;Meiosis R-HSA-1500620;Meiotic Recombination R-HSA-912446;Reproduction R-HSA-1474165
SPPL2A,,,,Interferon Gamma Response,,Death Receptor Signaling R-HSA-73887;Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226;Metabolism Of RNA R-HSA-8953854;Regulation Of TNFR1 Signaling R-HSA-5357905;Signal Transduction R-HSA-162582;TNF Signaling R-HSA-75893;rRNA Modification In Nucleus And Cytosol R-HSA-6790901;rRNA Processing R-HSA-72312;rRNA Processing In Nucleus And Cytosol R-HSA-8868773
SPRYD7,,,,,,
SPZ1,,,,,,
SRA1,,,,,,
SRCIN1,,,,,,
SRD5A2,,,,,Prostate cancer;Steroid hormone biosynthesis,Androgen Biosynthesis R-HSA-193048;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Steroid Hormones R-HSA-196071;Metabolism Of Steroids R-HSA-8957322
SRFBP1,,,,,,Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788;Signal Transduction R-HSA-162582;Signaling By TGF-beta Receptor Complex R-HSA-170834;Signaling By TGFB Family Members R-HSA-9006936;TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789
SRY,,,,,,Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402;Developmental Biology R-HSA-1266738;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;Transcriptional Regulation Of Testis Differentiation R-HSA-9690406
SSBP3,,,,,,
SSX1,,,,,Transcriptional misregulation in cancer,
SSX2,,,,,Transcriptional misregulation in cancer,
SSX4,,,,,,
STAC3,,,,,,
STAU2,,,,,,
STH,,,,,,
STK16,,,,,,
STK32C,,,,,,
STK35,,,,,,
STK40,,,,,,
STOML1,,,,,,
STRIP1,,,,,,
STRN3,,,,,,
STRN4,,,,,,
STX11,,,,,SNARE interactions in vesicular transport,
STXBP4,,,,,,
STYK1,,,,,,
SUGCT,,,,,,
SUGP2,,,,,,
SUMO4,,,,,Fluid shear stress and atherosclerosis;RNA transport,
SURF6,,,,,,
SWT1,,,,,,
SYNGR3,,,,,,
SYNRG,,,,,,
SYT16,,,,,,
TAFA5,,,,,,
TAL2,,,,,,
TANGO2,,,,,,
TASOR,,,,,,
TASOR2,,,,,,
TBC1D22B,,,,,,
TBC1D30,,,,Estrogen Response Early,,
TBC1D8B,,,,,,Golgi Associated Vesicle Biogenesis R-HSA-432722;Membrane Trafficking R-HSA-199991;Vesicle-mediated Transport R-HSA-5653656;trans-Golgi Network Vesicle Budding R-HSA-199992
TBCK,,,,,,
TBL2,,,,,,
TBR1,,,,,,
TBX19,,,,,,
TBX4,,,,,,
TCEANC,,,,,,
TCEANC2,,,,,,
TCERG1L,,,,,,
TCF20,,,,,,
TCFL5,,,,,,
TDRD7,,,,Interferon Alpha Response;Interferon Gamma Response,,
TEC,,,,,Osteoclast differentiation;T cell receptor signaling pathway,"Cytokine Signaling In Immune System R-HSA-1280215;FCERI Mediated Ca+2 Mobilization R-HSA-2871809;Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988;Signal Transduction R-HSA-162582;Signaling By Interleukins R-HSA-449147;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By SCF-KIT R-HSA-1433557"
TECPR1,,,,,Shigellosis,
TEDC1,,,,,,
TEFM,,,,,,
TEKT3,,,,,,
TEKT4,,,,,,
TENT5B,,,,,,
TERT,,,,,Gastric cancer;Hepatocellular carcinoma;Human T-cell leukemia virus 1 infection;Human papillomavirus infection;Pathways in cancer,Cell Cycle R-HSA-1640170;Chromosome Maintenance R-HSA-73886;Extension Of Telomeres R-HSA-180786;Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;Telomere Extension By Telomerase R-HSA-171319;Telomere Maintenance R-HSA-157579
TESK2,,,,,,
TEX30,,,,,,
TEX35,,,,,,
TFE3,,,,,Mitophagy;Renal cell carcinoma;Transcriptional misregulation in cancer,
TFEB,,,,,Mitophagy,
TGM6,,,,,,
THAP11,,,,,,
THAP3,,,,,,
THEM6,,,,,,
THUMPD3,,,,,,
THYN1,,,,,,
TICRR,,,,,,
TIGD5,,,,,,
TIMM29,,,,,,
TLK2,,,,,,
TM6SF2,,,,,,
TM9SF4,,,,,,
TMA16,,,,,,
TMBIM4,,,,,,
TMEM106B,,,,,,
TMEM120B,,,,,,
TMEM126A,,,,,,
TMEM130,,,,,,
TMEM14C,,,,,,
TMEM173,,,,,,
TMEM185A,,,,,,
TMEM192,,,,,,
TMEM200A,,,,,,
TMEM201,,,,,,
TMEM209,,,,,,
TMEM237,,,,,,
TMEM33,,,,,,
TMEM39A,,,,,,
TMEM43,,,,,,
TMPRSS13,,,,,,
TMPRSS2,,,,Androgen Response,Coronavirus disease;Influenza A;Prostate cancer;Transcriptional misregulation in cancer,Attachment And Entry R-HSA-9678110;Disease R-HSA-1643685;Early SARS-CoV-2 Infection Events R-HSA-9772572;Infectious Disease R-HSA-5663205;SARS-CoV Infections R-HSA-9679506;SARS-CoV-1 Infection R-HSA-9678108;SARS-CoV-2 Infection R-HSA-9694516
TMTC3,,,,,,
TMTC4,,,,,,
TMUB2,,,,,,
TMX1,,,,Protein Secretion,,
TMX2,,,,,,
TNK2,,,,,,
TNKS,,,,,,Degradation Of AXIN R-HSA-4641257;Deubiquitination R-HSA-5688426;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Intracellular Signaling By Second Messengers R-HSA-9006925;Metabolism Of Proteins R-HSA-392499;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;Post-translational Protein Modification R-HSA-597592;Regulation Of PTEN Stability And Activity R-HSA-8948751;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;Signaling By WNT In Cancer R-HSA-4791275;TCF Dependent Signaling In Response To WNT R-HSA-201681;Ub-specific Processing Proteases R-HSA-5689880
TNPO3,,,,,,
TNS2,,,,,,
TOMM34,,,,,,
TONSL,,,,,,
TOR1A,,,,,,Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Clathrin-mediated Endocytosis R-HSA-8856828;Membrane Trafficking R-HSA-199991;Vesicle-mediated Transport R-HSA-5653656
TOX4,,,,,,Cytokine Signaling In Immune System R-HSA-1280215;Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505;Immune System R-HSA-168256;Interleukin-12 Family Signaling R-HSA-447115;Interleukin-12 Signaling R-HSA-9020591;Signaling By Interleukins R-HSA-449147
TPMT,,,,,Drug metabolism,Azathioprine ADME R-HSA-9748787;Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Drug ADME R-HSA-9748784;Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029;Metabolism R-HSA-1430728;Methylation R-HSA-156581;Phase II - Conjugation Of Compounds R-HSA-156580
TPPP,,,,,,
TPTE,,,,,,Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PI Metabolism R-HSA-1483255;Phospholipid Metabolism R-HSA-1483257;Synthesis Of PIPs At Golgi Membrane R-HSA-1660514
TREML2,,,,,,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933
TREX2,,,,,,
TRIM23,,,,,,
TRIM27,,,,,,Disease R-HSA-1643685;Infection With Mycobacterium Tuberculosis R-HSA-9635486;Infectious Disease R-HSA-5663205;Intracellular Signaling By Second Messengers R-HSA-9006925;Metabolism Of Proteins R-HSA-392499;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;Post-translational Protein Modification R-HSA-597592;Regulation Of PTEN Stability And Activity R-HSA-8948751;Response Of Mtb To Phagocytosis R-HSA-9637690;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of Ubiquitinylation Proteins R-HSA-3232142;Signal Transduction R-HSA-162582;Suppression Of Apoptosis R-HSA-9635465
TRIM47,,,,,,
TRIM55,,,,,,
TRIM65,,,,,,
TRIM66,,,,,,
TRIM67,,,,,,
TRMT1L,,,,,,
TRMT2A,,,,,,
TRUB1,,,,,,
TSBP1,,,,,,
TSNAXIP1,,,,,,
TSPAN10,,,,,,
TSPAN14,,,,,,Amyloid Fiber Formation R-HSA-977225;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Metabolism Of Proteins R-HSA-392499;Neutrophil Degranulation R-HSA-6798695
TSPAN3,,,,,,
TSPAN31,,,,,,
TSPAN9,,,,,,
TSPYL5,,,,,,
TSSC4,,,,,,
TSSK1B,,,,,,
TSSK3,,,,,,
TTC12,,,,,,
TTC23,,,,,,
TTC23L,,,,,,
TTC4,,,,,,
TTC9C,,,,,,
TTPA,,,,Xenobiotic Metabolism,,Metabolism R-HSA-1430728;Metabolism Of Fat-Soluble Vitamins R-HSA-6806667;Metabolism Of Vitamins And Cofactors R-HSA-196854
TUSC2,,,,,,
TXNDC16,,,,,,
TXNDC9,,,,,,
UBAP2,,,,,,
UBAP2L,,,,,,
UBASH3A,,,,,,
UBASH3B,,,,,,
UBR3,,,,,,
UBR5,,,,,Ubiquitin mediated proteolysis,
UEVLD,,,,,,
UFC1,,,,,,
UGT1A1,,,,,Ascorbate and aldarate metabolism;Bile secretion;Chemical carcinogenesis;Drug metabolism;Metabolism of xenobiotics by cytochrome P450;Pentose and glucuronate interconversions;Porphyrin and chlorophyll metabolism;Retinol metabolism;Steroid hormone biosynthesis,Aspirin ADME R-HSA-9749641;Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Drug ADME R-HSA-9748784;Glucuronidation R-HSA-156588;Heme Degradation R-HSA-189483;Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029;Metabolism R-HSA-1430728;Metabolism Of Porphyrins R-HSA-189445;Paracetamol ADME R-HSA-9753281;Phase II - Conjugation Of Compounds R-HSA-156580
UGT1A4,,,,,Ascorbate and aldarate metabolism;Bile secretion;Chemical carcinogenesis;Drug metabolism;Metabolism of xenobiotics by cytochrome P450;Pentose and glucuronate interconversions;Porphyrin and chlorophyll metabolism;Retinol metabolism;Steroid hormone biosynthesis,Aspirin ADME R-HSA-9749641;Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Drug ADME R-HSA-9748784;Glucuronidation R-HSA-156588;Heme Degradation R-HSA-189483;Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029;Metabolism R-HSA-1430728;Metabolism Of Porphyrins R-HSA-189445;Phase II - Conjugation Of Compounds R-HSA-156580
UGT1A9,,,,,Ascorbate and aldarate metabolism;Bile secretion;Chemical carcinogenesis;Drug metabolism;Metabolism of xenobiotics by cytochrome P450;Pentose and glucuronate interconversions;Porphyrin and chlorophyll metabolism;Retinol metabolism;Steroid hormone biosynthesis,Aspirin ADME R-HSA-9749641;Biological Oxidations R-HSA-211859;Drug ADME R-HSA-9748784;Glucuronidation R-HSA-156588;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Paracetamol ADME R-HSA-9753281;Phase II - Conjugation Of Compounds R-HSA-156580;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206
UNC119,,,,Estrogen Response Early,,
UNC45A,,,,,,
UPK1A,,,,,,
UPK2,,,,,,
UQCC1,,,,,,
UQCC3,,,,,,
URB1,,,,,,
URGCP,,,,,,
USF1,,,,,,ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931
USP10,,,,,,
USP27X,,,,,,
USP29,,,,,,
USP32,,,,,,DNA Damage Bypass R-HSA-73893;DNA Repair R-HSA-73894;Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Termination Of Translesion DNA Synthesis R-HSA-5656169;Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313;Ub-specific Processing Proteases R-HSA-5689880
USP36,,,,,,
USP38,,,,,,
USP5,,,,,,Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Protein Ubiquitination R-HSA-8852135;Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652;Ub-specific Processing Proteases R-HSA-5689880
USP6,,,,,,
UTP23,,,,,,
VAX1,,,,,,
VPS13A,,,,,,
VPS13B,,,,,,
VSNL1,,,,,,
VSTM2B,,,,,,
VWA8,,,,,,
WARS,,,,,,
WBP2,,,,,,
WDFY3,,,,,,
WDHD1,,,,,,
WDR12,,,,,,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226;Metabolism Of RNA R-HSA-8953854;rRNA Processing R-HSA-72312;rRNA Processing In Nucleus And Cytosol R-HSA-8868773
WDR26,,,,,,
WDR37,,,,UV Response Dn,,
WDR55,,,,,,
WDR81,,,,,,"CDC42 GTPase Cycle R-HSA-9013148;RHO GTPase Cycle R-HSA-9012999;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
WWP2,,,,,Ubiquitin mediated proteolysis,"Intracellular Signaling By Second Messengers R-HSA-9006925;NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;RHO GTPase Cycle R-HSA-9012999;RHOJ GTPase Cycle R-HSA-9013409;RHOQ GTPase Cycle R-HSA-9013406;RHOU GTPase Cycle R-HSA-9013420;Regulation Of PTEN Stability And Activity R-HSA-8948751;Signal Transduction R-HSA-162582;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH3 R-HSA-9012852;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
XIRP1,,,,,,
XPNPEP3,,,,,,
XPR1,,,,,,
YIPF1,,,,,,
YIPF5,,,,,,
YJEFN3,,,,,,
YLPM1,,,,,,
YTHDC2,,,,,,
YTHDF1,,,,,,
YTHDF3,,,,,,
YY1AP1,,,,,,
ZAN,,,,,,
ZBED9,,,,,,
ZBTB1,,,,,,
ZBTB21,,,,,,
ZBTB25,,,,,,
ZBTB3,,,,,,
ZBTB33,,,,,,
ZBTB4,,,,,,
ZBTB40,,,,,,
ZBTB48,,,,,,
ZBTB49,,,,,,
ZC2HC1A,,,,,,
ZC3H18,,,,,,
ZC3H7A,,,,,,
ZC3HAV1L,,,,,,
ZC4H2,,,,,,
ZCCHC10,,,,,,
ZCCHC17,,,,,,
ZCCHC3,,,,,,
ZCCHC8,,,,,,
ZDHHC17,,,,,,
ZDHHC22,,,,,,
ZER1,,,,,,
ZFP57,,,,,Herpes simplex virus 1 infection,
ZFPL1,,,,,,
ZFX,,,,,,
ZFYVE1,,,,,Autophagy;Pathways of neurodegeneration,
ZFYVE21,,,,,,
ZFYVE26,,,,,,
ZGRF1,,,,,,
ZIC4,,,,,,
ZMIZ2,,,,,,
ZMPSTE24,,,,,Terpenoid backbone biosynthesis,
ZMYM1,,,,,,
ZMYM3,,,,,,
ZMYND19,,,,,,
ZNF106,,,,,,
ZNF142,,,,,,
ZNF165,,,,,,
ZNF177,,,,,Herpes simplex virus 1 infection,
ZNF232,,,,,,
ZNF280C,,,,,,
ZNF281,,,,,,
ZNF326,,,,,,
ZNF341,,,,,,
ZNF346,,,,,,
ZNF395,,,,,,
ZNF408,,,,,,
ZNF410,,,,,,
ZNF449,,,,,,
ZNF451,,,,,,
ZNF469,,,,,,
ZNF512,,,,,,
ZNF592,,,,,,
ZNF687,,,,,,
ZNF76,,,,,,
ZNF768,,,,,Herpes simplex virus 1 infection,
ZNF8,,,,,Herpes simplex virus 1 infection,
ZNF827,,,,,,
ZNF829,,,,,Herpes simplex virus 1 infection,
ZPR1,,,,,,
ZSCAN1,,,,,,
ZSCAN12,,,,,,
ZSCAN16,,,,,,
ZSCAN20,,,,,,
ZSCAN26,,,,,,
ZSWIM6,,,,,,
ZUP1,,,,,,
ZYG11B,,,,,,
