gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio
ACHE,,,no,True,ENSG00000087085,Acetylcholinesterase (AChE),Synapse,medullary thymic epithelial cell;follicular dendritic cell,,1.114,1.099,1.114,5170,2655,-0.02
AIRE,,,no,True,ENSG00000160224,Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein),Nucleus,medullary thymic epithelial cell,,1.029,0.641,1.029,4777,1549,-0.684
ANGPT2,,,no,True,ENSG00000091879,Angiopoietin-2 (ANG-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;muscle cell;smooth muscle cell;trophoblast giant cell,ANGPT,1.659,0.429,1.659,7697,1036,-1.952
ASCL1,,,no,True,ENSG00000139352,Achaete-scute homolog 1 (ASH-1) (hASH1) (Class A basic helix-loop-helix protein 46) (bHLHa46),Nucleus,glioblast;Schwann cell precursor;neural crest cell;neuroendocrine cell;lung neuroendocrine cell;epithelial cell of thymus;medullary thymic epithelial cell;enteric neuron;peripheral nervous system neuron,,2.914,3.607,3.607,13524,8717,0.308
CALML3,,,no,True,ENSG00000178363,Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1),,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;epithelial cell of stratum germinativum of esophagus;epithelial cell;keratinocyte;stratified epithelial cell;pulmonary ionocyte;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;epidermal cell;ionocyte;conjunctival epithelial cell,,0.248,0.374,0.374,1152,905,0.593
CCL19,,,no,True,ENSG00000172724,C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19),Secreted,epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;follicular dendritic cell;smooth muscle cell of prostate;connective tissue cell;fibroblast;fibroblast of lung;pericyte;mural cell;inflammatory cell,CCL,4.95,7.824,7.824,22972,18910,0.661
CCL21,,,no,False,,,,,,0.79,0.616,0.79,3664,1490,-0.357
CCL25,,,no,True,ENSG00000131142,C-C motif chemokine 25 (Chemokine TECK) (Small-inducible cytokine A25) (Thymus-expressed chemokine),Secreted,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;intestine goblet cell;M cell of gut;microfold cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of small intestine;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;transit amplifying cell of small intestine,CCL,6.693,0.938,6.693,31062,2267,-2.835
CD40,,,no,True,ENSG00000101017,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40),Secreted,"medullary thymic epithelial cell;dendritic cell;myeloid dendritic cell, human;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;B-1a B cell;germinal center B cell",CD40,1.403,1.077,1.403,6511,2604,-0.381
CD70,,,no,True,ENSG00000125726,CD70 antigen (CD27 ligand) (CD27-L) (Tumor necrosis factor ligand superfamily member 7) (CD antigen CD70),Membrane,medullary thymic epithelial cell;CD4-positive helper T cell;T-helper 17 cell;regulatory T cell;exhausted T cell,CD70,0.914,0.532,0.914,4244,1285,-0.782
CD80,,,no,True,ENSG00000121594,T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80),Membrane,,CD80,0.325,0.238,0.325,1509,575,-0.451
CD86,,,no,True,ENSG00000114013,T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (B70) (BU63) (CTLA-4 counter-receptor B7.2) (FUN-1) (CD antigen CD86),Cell membrane,"phagocyte;macrophage;inflammatory macrophage;tissue-resident macrophage;colon macrophage;mononuclear phagocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;myeloid leukocyte;myeloid cell",CD86,1.293,0.775,1.293,6003,1874,-0.738
CDH3,,,no,True,ENSG00000062038,Cadherin-3 (Placental cadherin) (P-cadherin),Cell membrane,basal cell;basal epithelial cell of prostatic duct;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of thymus;medullary thymic epithelial cell,CDH,2.642,1.835,2.642,12261,4434,-0.526
CDKN1A,,,no,True,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,5.455,6.248,6.248,25314,15101,0.196
CFL2,,,no,True,ENSG00000165410,"Cofilin-2 (Cofilin, muscle isoform)",Nucleus matrix,epithelial cell of thymus;medullary thymic epithelial cell;slow muscle cell;enteric smooth muscle cell,,0.515,0.64,0.64,2391,1546,0.312
CH25H,,,no,True,ENSG00000138135,Cholesterol 25-hydroxylase,Endoplasmic reticulum membrane,epithelial cell of thymus;medullary thymic epithelial cell;microglial cell;mononuclear phagocyte;vascular associated smooth muscle cell;smooth muscle cell of prostate;T follicular helper cell;pericyte;mural cell,,0.565,0.656,0.656,2624,1585,0.214
CRYZ,,,no,True,ENSG00000116791,Quinone oxidoreductase,Cytoplasm,medullary thymic epithelial cell,,2.657,2.657,2.657,12331,6421,-0.0
CXCL10,,,no,True,ENSG00000169245,C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10),Secreted,medullary thymic epithelial cell;early T lineage precursor,CXCL,0.492,0.691,0.691,2285,1669,0.488
CXCL11,,,no,True,ENSG00000169248,C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11),Secreted,medullary thymic epithelial cell,CXCL,0.114,0.252,0.252,527,609,1.15
CXCL12,,,no,True,ENSG00000107562,Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF),Secreted,mesenchymal stem cell;endothelial cell of artery;epithelial cell of thymus;cortical thymic epithelial cell;mesodermal cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;fibroblast of mammary gland;skin fibroblast;mesenchymal cell;inflammatory cell,CXCL,6.174,5.534,6.174,28652,13374,-0.158
CXCL9,,,no,True,ENSG00000138755,C-X-C motif chemokine 9 (Gamma-interferon-induced monokine) (Monokine induced by interferon-gamma) (HuMIG) (MIG) (Small-inducible cytokine B9),Secreted,medullary thymic epithelial cell,CXCL,1.315,1.382,1.382,6102,3341,0.072
EBI3,,,no,True,ENSG00000105246,Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein),Secreted,trophoblast giant cell;extravillous trophoblast,IL12,0.609,0.275,0.609,2827,664,-1.149
FAS,,,no,True,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Secreted,basal cell of prostate epithelium;medullary thymic epithelial cell,FASLG,2.323,1.828,2.323,10781,4418,-0.346
FEZF2,,,no,True,ENSG00000153266,Fez family zinc finger protein 2 (Forebrain embryonic zinc finger-like protein 2) (Zinc finger protein 312) (Zinc finger protein Fez-like),Nucleus,,,0.707,0.539,0.707,3280,1303,-0.391
GABRA5,,,no,True,ENSG00000186297,Gamma-aminobutyric acid receptor subunit alpha-5 (GABA(A) receptor subunit alpha-5),Postsynaptic cell membrane,medullary thymic epithelial cell,,1.092,0.362,1.092,5070,875,-1.593
GBP1,,,no,True,ENSG00000117228,Guanylate-binding protein 1,Cytoplasmic vesicle membrane,medullary thymic epithelial cell,,2.382,2.611,2.611,11053,6311,0.133
GJB6,,,no,True,ENSG00000121742,Gap junction beta-6 protein (Connexin-30) (Cx30),Cell membrane,stem cell;basal cell;keratinocyte;stratified epithelial cell;medullary thymic epithelial cell;epidermal cell,,0.124,0.201,0.201,577,485,0.691
HCAR2,,,no,True,ENSG00000182782,Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109A) (G-protein coupled receptor HM74A) (Niacin receptor 1) (Nicotinic acid receptor),Cell membrane,epithelial cell of prostate;basal cell of prostate epithelium;medullary thymic epithelial cell,,0.629,1.072,1.072,2918,2592,0.77
HCAR3,,,no,True,ENSG00000255398,Hydroxycarboxylic acid receptor 3 (G-protein coupled receptor 109B) (G-protein coupled receptor HM74) (G-protein coupled receptor HM74B) (Niacin receptor 2) (Nicotinic acid receptor 2),Cell membrane,stem cell of epidermis;epithelial cell of prostate;basal cell of prostate epithelium;medullary thymic epithelial cell;basophil,,0.314,0.422,0.422,1456,1019,0.426
HSPB8,,,no,True,ENSG00000152137,Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (E2-induced gene 1 protein) (Protein kinase H11) (Small stress protein-like protein HSP22),Cytoplasm,pancreatic D cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;slow muscle cell;syncytiotrophoblast cell;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,,2.574,1.946,2.574,11946,4704,-0.403
ICAM1,,,no,True,ENSG00000090339,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),Membrane,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;type I pneumocyte;medullary thymic epithelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree,ICAM,1.178,1.086,1.178,5468,2624,-0.118
IRF1,,,no,True,ENSG00000125347,Interferon regulatory factor 1 (IRF-1),Nucleus,"vasa recta ascending limb cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;gut endothelial cell;surface ectodermal cell;IgG-negative class switched memory B cell;mature alpha-beta T cell;mucosal invariant T cell;CD16-negative, CD56-bright natural killer cell, human;group 2 innate lymphoid cell, human",,8.914,10.206,10.206,41368,24666,0.195
KRT14,,,no,False,,,,,,11.92,8.983,11.92,55319,21712,-0.408
LTBR,,,no,True,ENSG00000111321,Tumor necrosis factor receptor superfamily member 3 (Lymphotoxin-beta receptor) (Tumor necrosis factor C receptor) (Tumor necrosis factor receptor 2-related protein) (Tumor necrosis factor receptor type III) (TNF-RIII) (TNFR-III),Membrane,,LT;LIGHT,2.855,3.281,3.281,13250,7930,0.201
LY75,,,no,True,ENSG00000054219,Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205),Membrane,epithelial cell of thymus,,8.255,4.299,8.255,38312,10391,-0.941
MAP3K14,,,no,True,ENSG00000006062,Mitogen-activated protein kinase kinase kinase 14,Cytoplasm,,,2.2,1.412,2.2,10212,3412,-0.64
NFKB2,,,no,True,ENSG00000077150,Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10),Nucleus;Cytoplasm,medullary thymic epithelial cell;IgG memory B cell;group 2 innate lymphoid cell,,4.79,5.174,5.174,22228,12504,0.111
PAX1,,,no,True,ENSG00000125813,Paired box protein Pax-1 (HuP48),Nucleus,epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell,,6.094,5.692,6.094,28282,13758,-0.098
PDPN,,,no,True,ENSG00000162493,Podoplanin (Aggrus) (Glycoprotein 36) (Gp36) (PA2.26 antigen) (T1-alpha) (T1A),Cytoplasm,mesothelial cell of pleura;medullary thymic epithelial cell;endothelial cell of lymphatic vessel;connective tissue cell;fibroblast;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast,,1.493,1.336,1.493,6928,3229,-0.16
PLTP,,,no,True,ENSG00000100979,Phospholipid transfer protein (Lipid transfer protein II),Secreted,ciliated epithelial cell;multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;endosteal cell;alternatively activated macrophage;Hofbauer cell;keratocyte,,6.705,5.342,6.705,31116,12910,-0.328
PRSS16,,,no,True,ENSG00000112812,Thymus-specific serine protease,Cytoplasmic vesicle,epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell,,8.255,0.916,8.255,38312,2213,-3.172
RELB,,,no,True,ENSG00000104856,Transcription factor RelB (I-Rel),Nucleus,luminal epithelial cell of mammary gland;medullary thymic epithelial cell;follicular dendritic cell;fibroblast of mammary gland,,1.712,1.957,1.957,7944,4729,0.193
SIX1,,,no,True,ENSG00000126778,Homeobox protein SIX1 (Sine oculis homeobox homolog 1),Nucleus,brush cell of trachebronchial tree;brush cell of bronchus;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell,,1.086,1.547,1.547,5038,3740,0.511
SPIB,,,no,True,ENSG00000269404,Transcription factor Spi-B,Cytoplasm,"paneth cell;paneth cell of colon;brush cell;intestinal tuft cell;tuft cell of colon;M cell of gut;microfold cell of epithelium of small intestine;follicular dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;IgG memory B cell;germinal center B cell;small pre-B-II cell;common dendritic progenitor",,1.097,0.7,1.097,5089,1693,-0.647
THY1,,,no,True,ENSG00000154096,Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90),Cell membrane,glioblast;Schwann cell precursor;interstitial cell of Cajal;pancreatic D cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;follicular dendritic cell;neuron;glycinergic neuron,THY1;ADGRE,1.359,1.66,1.66,6305,4012,0.289
TNFAIP3,,,no,False,,,,,,8.128,3.275,8.128,37722,7915,-1.311
TNFRSF11A,,,no,True,ENSG00000141655,Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265),Cell membrane,,RANKL,1.294,0.871,1.294,6005,2106,-0.57
TNFRSF1A,,,no,True,ENSG00000067182,Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a),Cell membrane,mesothelial cell of pleura;follicular dendritic cell,TNF;LT,3.164,3.399,3.399,14684,8216,0.104
TRIB1,,,no,True,ENSG00000173334,Tribbles homolog 1 (TRB-1) (G-protein-coupled receptor-induced gene 2 protein) (GIG-2) (SKIP1),,skeletal muscle satellite stem cell;ileal goblet cell;medullary thymic epithelial cell;skeletal muscle satellite cell;IgA plasma cell,,0.408,0.384,0.408,1894,928,-0.088
UBD,,,no,True,ENSG00000213886,Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10),Nucleus,lung goblet cell;medullary thymic epithelial cell;follicular dendritic cell,,2.794,1.026,2.794,12965,2479,-1.446
VCAM1,,,no,True,ENSG00000162692,Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (INCAM-100) (CD antigen CD106),Secreted,vasa recta ascending limb cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;follicular dendritic cell;connective tissue cell;fibroblast;fibroblast of lung;mesothelial fibroblast,VCAM,3.646,1.896,3.646,16920,4582,-0.943
ZC3H12A,,,no,True,ENSG00000163874,Endoribonuclease ZC3H12A,Nucleus,medullary thymic epithelial cell,,1.855,1.685,1.855,8610,4072,-0.139
